"","con_threshold","cov_threshold","noise_level","frag_ratio","prevalence","factors","low_contr_AND_correct","high_contr_AND_correct","low_contr_AND_complx","high_contr_AND_complx","low_contr_AND_complete","high_contr_AND_complete","low_contr_AND_nct","high_contr_AND_nct","high_contr_AND_ratio","base_correct","base_complx","base_complete","base_nct","GT_complx","low_corr_sd","high_corr_sd","low_complx_sd","high_complx_sd","low_complete_sd","high_complete_sd","base_corr_sd","base_complx_sd","base_complete_sd","nrow","few_csfs","all_high_contr_AND","all_low_contr_AND","n_low_contr_complx","n_high_contr_complx","GT_high_complx","GT_low_complx"
"1",0.7,0.7,-99,-99,0.6,7,0.374095412447311,0.790154132976866,0.237172551593615,0.250083182761436,8.03691066473524e-05,0.0166693771378807,4.37389078865362,2.32359341043125,0.034166127300499,0.389645852144995,0.237638202337919,0.00045978083267718,4.3089239846978,8.04272341787343,0.330687170158368,0.379499802012132,0.127211276075836,0.192136244655361,0.00489176166797567,0.124483615346571,0.326095369445357,0.135150451324135,0.0124118991703992,49996,4,55,39773,46816,8706,7.47354005673481,8.04467271380229
"2",0.75,0.7,-99,-99,0.6,7,0.215977812255916,0.459512426317371,0.300236815164189,0.420267196065053,0.000215895893078899,0.017427541405419,6.42254870310094,4.75006072347433,0.0324358669989946,0.229122569430809,0.311006321575908,0.00119915600037884,6.33663141199302,8.04241017844283,0.294349615750485,0.432656866689297,0.183248163354748,0.246307026158654,0.0108032810811884,0.117833389421922,0.295970030683792,0.199643899115797,0.0285473178601853,49988,12,227,33983,44812,10734,8.18725398313027,8.05178754446253
"3",0.8,0.7,-99,-99,0.6,7,0.132680969722086,0.335191024852656,0.418310469100329,0.531751666673387,0.00114337380906057,0.0260790883633639,7.91277556990535,6.09229686971234,0.0627914992306026,0.154551412005887,0.451537104303402,0.00318656388568107,7.74336169838985,8.04283027926702,0.239114298015114,0.371993515540654,0.224515986481484,0.240250844611844,0.0261720389493492,0.135220633055866,0.251856888747554,0.246877225386411,0.0447563175116158,49988,12,508,21575,38943,19356,8.17590539541759,8.06307599029911
"4",0.85,0.7,-99,-99,0.6,7,0.0885368664502148,0.246759992307124,0.514861406155548,0.587835978054391,0.00336730343365707,0.0336978991046372,9.22836205848271,7.45479107474894,0.117383254214576,0.115005057893752,0.558201476636815,0.00737119604556217,8.98214174726516,8.03921450393954,0.207284337133383,0.327398823583587,0.228068368273743,0.244866631265311,0.0426418165760222,0.148547075126284,0.222201634677359,0.247057827871219,0.0580841974227622,49752,248,465,15192,27796,22652,8.09429976851852,8.05969119646154
"5",0.7,0.75,-99,-99,0.6,7,0.370825856502451,0.80907806480953,0.268255266692786,0.269835983602526,0.00029244673895722,0.0204868309281542,4.3766076246225,2.29346450533671,0.0255287159811175,0.382992511367152,0.267589321597178,0.000757012236205679,4.3250329194733,8.04241696678671,0.324789431321485,0.367337639042901,0.138772502713648,0.203418963261745,0.0129436986279766,0.138149421176078,0.321377031326723,0.144236757124092,0.0195638535671701,49980,20,79,42967,46851,6045,7.31056609154427,8.04526963387507
"6",0.75,0.75,-99,-99,0.6,7,0.224679800864434,0.500234352507936,0.337274181515743,0.442551750557888,0.000619964091844797,0.0224495356583654,6.36899830669477,4.78025580363063,0.0240819435076114,0.236644789569367,0.343955552322197,0.00175706808581958,6.29186611694848,8.04214467335376,0.296364120636571,0.44096677459763,0.199024010101496,0.254739594638154,0.0198358633784568,0.13549069733565,0.299066514384131,0.209590343459695,0.0361177688575607,49947,53,278,39042,44674,7414,8.14507106831729,8.05427932915903
"7",0.8,0.75,-99,-99,0.6,7,0.150936442193158,0.372872285830469,0.458704782802616,0.563777111406464,0.0018948623325577,0.0329635901111799,7.82799686748437,6.09862989101594,0.0425612913770762,0.169374306367306,0.482725419192462,0.00395280286975272,7.6931335146075,8.04242581988548,0.261417780337686,0.391863920080215,0.236027370634559,0.243245743029933,0.0330520884663402,0.153802653666951,0.272373118778166,0.250672897126437,0.0502179548648953,49946,54,519,29729,39018,13562,8.16674086165109,8.06393266837963
"8",0.85,0.75,-99,-99,0.6,7,0.0961761659119607,0.295002929247391,0.551455452734758,0.631006174025681,0.00484217659845762,0.0472172536553249,9.20219324026725,7.24376732491734,0.0750313535622421,0.118239336918301,0.590584937899257,0.00900007658540939,9.02221561537847,8.02793000183348,0.21829915444807,0.357257078852082,0.23112316037085,0.244060119039182,0.0511804933677922,0.179059770252353,0.230299655780379,0.245812929604906,0.0656024038632202,49087,913,393,23547,27074,16560,8.09929522317933,8.04700784490902
"9",0.7,0.8,-99,-99,0.6,7,0.369345740828567,0.8233250211833,0.298668944425055,0.292074277214964,0.000522292660102121,0.0237657670694354,4.38854060815116,2.34775572325522,0.0187807883576378,0.378852348295169,0.297536008297513,0.00106570190459807,4.34825539384878,8.04219231847491,0.324927093321115,0.356107073890858,0.145996247017484,0.213211154665153,0.0184516952769853,0.148764044998365,0.32227937873056,0.149947468703583,0.0263942574807941,49938,62,95,45331,46141,4016,7.14000434121988,8.0464458399374
"10",0.75,0.8,-99,-99,0.6,7,0.230671961676306,0.538451094315766,0.370927025357343,0.464272815477496,0.00106890912384412,0.0273731030662231,6.27459341652569,4.8232650313968,0.0186332315436556,0.240965961076609,0.375490569921281,0.00205342870050395,6.21168349711228,8.04241986020728,0.299120991018904,0.444173768174573,0.203424805581857,0.259122405324175,0.0279477705682726,0.150820386493649,0.302181983593546,0.211035560097894,0.0392462442963331,49788,212,287,42811,41993,4882,8.04557832879461,8.0546251590877
"11",0.8,0.8,-99,-99,0.6,7,0.158222036909962,0.398915735995734,0.482495562183855,0.597043024848965,0.00236297710836917,0.0381187829875069,7.81333204984957,6.21853925828896,0.0303247505755374,0.172745384309087,0.503657040173688,0.00408581894832077,7.71363699059063,8.03902989738524,0.275371578202246,0.405449472035578,0.235081701420962,0.243271166515378,0.0378645946521765,0.165115457780414,0.283748964718913,0.24744120534662,0.0506116480055095,49603,397,432,35908,34417,9085,8.17115735669953,8.05716784283419
"12",0.85,0.8,-99,-99,0.6,7,0.0985678982969582,0.33607245566195,0.577881005670301,0.673358430332939,0.00544333978343864,0.0637638424795026,9.23463721140689,7.1589754175571,0.0546964333765038,0.117355160414442,0.616954265036524,0.00972933428904943,9.10011720057945,7.99837000814996,0.2231907533369,0.378613664280107,0.230319466016579,0.239617754145612,0.0541365764465439,0.209657344535286,0.232920503654599,0.243157695903341,0.0683192330160369,46626,3374,304,28832,22723,11502,8.03568618635495,8.0142265014464
